alpha,E_avg,E_per_spin,M_avg_abs,M_per_spin,Cv_per_spin,chi_per_spin,acceptance_ratio
2.37,-1994.32,-1.24645,492.347,0.307717,1.41454,24.2827,0.264536
2.38,-1974.12,-1.23382,481.338,0.300836,1.36228,22.3372,0.270011
2.39,-1951.89,-1.21993,438.361,0.273976,1.2738,20.2004,0.275197
2.4,-1930.61,-1.20663,401.147,0.250717,1.20323,18.6126,0.280806
2.41,-1912.96,-1.1956,386.499,0.241562,1.15887,17.4364,0.285304
2.42,-1894.3,-1.18394,355.703,0.222314,1.11394,15.7965,0.290135
2.43,-1878.66,-1.17416,354.103,0.221314,1.07677,15.0753,0.294348
2.44,-1861.22,-1.16326,327.448,0.204655,1.05077,13.2726,0.298599
2.45,-1846.34,-1.15397,320.383,0.20024,1.00818,12.9593,0.302942
2.46,-1827.94,-1.14246,296.03,0.185019,0.973087,11.5335,0.307535
2.47,-1815.02,-1.13439,289.488,0.18093,0.948519,10.8924,0.311169
2.48,-1797.38,-1.12336,269.496,0.168435,0.903413,9.37556,0.315626
2.49,-1783.77,-1.11485,269.166,0.168229,0.887691,9.28961,0.319383
2.5,-1769.94,-1.10621,256.365,0.160228,0.866963,8.67188,0.323015
2.51,-1755.87,-1.09742,244.242,0.152651,0.848193,7.86195,0.327037
2.52,-1743.42,-1.08964,240.116,0.150073,0.828273,7.62888,0.330312
2.53,-1729.13,-1.08071,232.299,0.145187,0.809259,7.12107,0.334299
